GEOID,TRACTCE,NAME,total_population,pct_white,pct_black,pct_asian,pct_indian,pct_hawaiian,pct_two_or_more_races,pct_hispanic,pct_female,pct_young_adults_20_34,pct_zero_car_ownership,unemployment_rate,pct_bachelors_plus,pct_drive_alone,pct_bike_to_work,pct_walk_to_work,housing_density,per_capita_income,land_area_sq_meters,population_density_sq_meter,housing_density_sq_meter
17031251700,251700,2517,1188,3.28,79.8,0.0,0.0,0.0,16.75,17.09,57.66,17.51,11.32,8.9,25.96,78.7,0.0,0.0,467,52867.0,486655,0.002441,0.00096
17031251800,251800,2518,5641,0.21,93.12,0.0,0.0,0.0,0.99,5.67,46.89,18.15,38.6,13.49,12.89,45.41,0.26,1.94,2037,14437.0,997741,0.005654,0.002042
17031251900,251900,2519,5355,4.87,85.68,0.0,0.0,0.0,8.55,11.06,52.03,21.85,49.71,18.6,13.86,48.11,0.0,3.34,2563,19973.0,632452,0.008467,0.004052
17031252000,252000,2520,5787,8.54,82.32,0.16,7.36,0.0,1.28,7.53,60.65,19.41,50.54,28.9,17.44,55.76,0.0,2.61,2781,19991.0,624594,0.009265,0.004452
17031130300,130300,1303,4930,32.74,5.62,40.61,2.15,0.0,13.0,21.3,49.17,21.26,11.5,5.07,55.05,55.95,1.4,4.91,2040,35377.0,721103,0.006837,0.002829
17031190200,190200,1902,5753,26.7,6.24,3.48,0.87,0.0,21.99,76.85,50.67,24.84,12.26,7.67,31.48,67.77,0.0,4.58,1689,28309.0,660108,0.008715,0.002559
17031190300,190300,1903,5609,37.39,4.44,6.61,0.0,0.0,27.76,68.92,46.78,20.36,16.19,3.41,28.33,65.67,1.46,0.0,2158,31098.0,660302,0.008495,0.003268
17031190800,190800,1908,6326,37.99,3.18,1.5,5.23,0.0,16.6,85.69,51.11,23.08,14.37,4.97,19.82,77.57,5.5,0.89,2067,22839.0,661317,0.009566,0.003126
17031260100,260100,2601,1145,1.22,91.88,1.22,0.0,0.0,0.79,4.89,45.94,20.09,73.72,17.95,15.76,15.27,8.98,5.39,737,21903.0,325451,0.003518,0.002265
17031260200,260200,2602,1274,0.47,87.36,0.0,0.0,0.0,0.0,11.22,58.71,23.78,26.46,4.3,13.18,45.76,0.0,6.27,496,21618.0,328451,0.003879,0.00151
17031530100,530100,5301,1858,24.49,40.58,0.0,0.0,0.0,9.36,54.14,54.09,25.08,32.48,27.59,13.0,68.31,0.0,0.0,1041,18609.0,649937,0.002859,0.001602
17031061800,061800,618,1144,75.26,3.5,12.76,0.0,0.0,6.99,11.36,55.42,57.08,59.87,9.26,90.51,15.94,3.75,5.04,768,54535.0,82769,0.013822,0.009279
17031828201,828201,8282.01,3752,29.82,62.55,0.0,0.13,0.0,4.93,14.66,49.15,22.6,3.81,7.42,38.84,71.96,0.0,0.0,1786,35941.0,3616170,0.001038,0.000494
17031825000,825000,8250,4450,55.96,14.9,9.57,0.0,0.0,7.78,19.71,50.07,23.44,11.0,4.87,41.11,72.38,0.0,0.66,1942,42275.0,5848101,0.000761,0.000332
17031824300,824300,8243,5120,4.3,92.05,0.51,0.06,0.0,1.27,1.66,57.44,20.55,22.19,20.85,23.97,57.34,0.0,0.0,1882,20402.0,4021382,0.001273,0.000468
17031824601,824601,8246.01,4196,78.27,3.34,1.31,0.0,0.0,11.53,17.92,52.07,16.11,1.58,4.48,38.84,83.95,0.0,0.97,1742,43154.0,3409597,0.001231,0.000511
17031818500,818500,8185,5491,79.58,11.04,1.97,0.0,0.0,6.17,11.09,55.16,12.35,3.01,3.25,56.76,61.05,0.0,7.63,2570,57454.0,5618666,0.000977,0.000457
17031823400,823400,8234,5195,36.84,27.03,0.9,0.4,1.27,10.34,48.85,44.47,19.33,16.71,11.89,20.15,79.18,0.69,3.36,1902,25112.0,5160342,0.001007,0.000369
17031821500,821500,8215,1437,0.0,90.12,0.0,0.0,0.0,6.33,5.15,55.18,22.76,28.7,13.75,19.75,68.87,0.0,0.0,846,18205.0,4197000,0.000342,0.000202
