h3_index,lat,lng
882664c895fffff,41.826448451401255,-87.72270987611724
882664c897fffff,41.818959330346416,-87.71795968798541
882664c899fffff,41.83187094573193,-87.70462426336849
882664c89bfffff,41.824380454798785,-87.69987623526484
882664c89dfffff,41.832905028118475,-87.7160428122941
882664c8b1fffff,41.82102371894139,-87.74079043134027
882664c8b3fffff,41.813535968326654,-87.7360380855196
882664c8b7fffff,41.814566932825606,-87.74745191457932
882664c8b9fffff,41.82748072919424,-87.7341269759761
882664c8bbfffff,41.81999209798766,-87.7293749669606
882664c8c1fffff,41.861836815837904,-87.7236312153191
882664c8c3fffff,41.854344763130996,-87.71887725014061
882664c8c5fffff,41.862868936979105,-87.73505705626614
882664c8c7fffff,41.85537737513399,-87.73030126744557
882664c8c9fffff,41.86829647875244,-87.7169591872087
882664c8cbfffff,41.860803545753974,-87.71220556057132
882664c8cdfffff,41.869329258018205,-87.72838666634264
882664c8d1fffff,41.84581884966664,-87.70270276292618
882664c8d3fffff,41.838327087353804,-87.69795359065716
882664c8d5fffff,41.84685310028573,-87.71412477017631
882664c8d7fffff,41.8393618276901,-87.70937377479568
882664c8d9fffff,41.85227609359835,-87.69602977598967
882664c8dbfffff,41.84478345099569,-87.69128094341657
882664c8ddfffff,41.85331100259599,-87.70745341935408
882664ca01fffff,41.93912422768293,-87.7187961500189
882664ca03fffff,41.93162544380426,-87.71403495219077
882664ca05fffff,41.94015669172439,-87.73024115664168
882664ca07fffff,41.93265840069522,-87.72547812888828
882664ca09fffff,41.94559027423408,-87.71211218843618
882664ca0bfffff,41.938090610519325,-87.70735133060705
882664ca0dfffff,41.94662339859198,-87.72355883852109
882664ca11fffff,41.92309244567551,-87.69783408505538
882664ca13fffff,41.91559394532593,-87.69307769606522
882664ca15fffff,41.92412704734601,-87.70927524440266
882664ca17fffff,41.91662903869792,-87.70451702602088
882664ca19fffff,41.929556071961464,-87.69114916229852
882664ca1bfffff,41.92205669177642,-87.68639311446763
882664ca1dfffff,41.930591334203186,-87.70259196302476
882664ca21fffff,41.93472085607021,-87.74836504124451
882664ca23fffff,41.92722393829131,-87.74359984592367
882664ca25fffff,41.93575035441669,-87.75980877508633
882664ca27fffff,41.92825393035422,-87.75504175123056
882664ca29fffff,41.94118800257466,-87.74168634956658
882664ca2bfffff,41.933690204806844,-87.736921492209
882664ca2dfffff,41.94221816016493,-87.75313172788479
882664ca31fffff,41.91869576971345,-87.72739624953994
882664ca33fffff,41.91119913316773,-87.72263586296117
882664ca35fffff,41.919727407218396,-87.73883614128842
882664ca37fffff,41.912231263241395,-87.73407392670522
882664ca39fffff,41.92516049671833,-87.72071659160173
882664ca3bfffff,41.91766298018358,-87.71595654414826
882664ca3dfffff,41.926192793723104,-87.73215812574472
882664ca41fffff,41.95955747036798,-87.71018825181667
882664ca43fffff,41.952056539896326,-87.7054262434395
882664ca45fffff,41.960590762298885,-87.72163837737239
882664ca47fffff,41.95309032495737,-87.71687453714642
882664ca49fffff,41.96602483437105,-87.70349998183059
882664ca4bfffff,41.95852302421694,-87.69873831432805
882664ca4dfffff,41.967058787435896,-87.71495175191673
882664ca51fffff,41.943520565193054,-87.68921945257274
882664ca53fffff,41.93601991710358,-87.68446225705073
882664ca55fffff,41.94455599641126,-87.70066572615039
882664ca57fffff,41.93705584030299,-87.6959066993148
882664ca59fffff,41.949985508420745,-87.68253022209846
882664ca5bfffff,41.94248398064934,-87.67777336861224
882664ca5dfffff,41.951021601027534,-87.69397813812037
882664ca61fffff,41.9551544333789,-87.73977168608559
882664ca63fffff,41.94765536941574,-87.735005675496
882664ca65fffff,41.956184756601374,-87.75122053949855
882664ca67fffff,41.94868618663632,-87.74645269845163
882664ca69fffff,41.96162289994033,-87.73308869008524
882664ca6bfffff,41.954122956141276,-87.72832301833165
882664ca6dfffff,41.96265388322333,-87.7445391890452
882664ca81fffff,41.88664088999507,-87.68549903389409
882664ca83fffff,41.8791448262368,-87.68074825304946
882664ca85fffff,41.88767679625662,-87.6969312400011
882664ca87fffff,41.88018122277357,-87.69217863221772
882664ca89fffff,41.893100777239084,-87.67881745663847
882664ca8bfffff,41.885603833494066,-87.67406701723512
882664ca8dfffff,41.89413734350913,-87.69025130098125
882664ca91fffff,41.87061111676162,-87.66457059524387
882664ca93fffff,41.863115344550664,-87.65982461139276
