station_id,station_name,poi_tourism,poi_education,poi_medical,poi_shop,poi_leisure
15624,Avondale Ave & Irving Park Rd,0,0,0,6,0
15628,California Ave & Byron St,0,0,0,6,0
15631,Troy St & Elston Ave,0,0,0,11,0
15632,Talman Ave & Addison St,2,0,1,0,0
15634,Western Ave & Roscoe St,3,0,0,16,0
15640,Avers Ave & Belmont Ave,1,0,1,11,0
15642,California Ave & Fletcher St,0,1,1,4,0
15643,Kosciuszko Park,0,0,0,7,0
15644,Central Park Ave & Elbridge Ave,0,0,1,26,0
15645,Richmond St & Diversey Ave,0,0,2,7,0
15646,California Ave & Altgeld St,0,0,1,37,0
15648,Campbell Ave & Fullerton Ave,0,0,0,16,0
15650,Spaulding Ave & Armitage Ave,2,0,2,6,0
15651,Humboldt Blvd & Armitage Ave,2,0,1,9,0
15652,Central Park Ave & North Ave,0,1,0,8,0
15653,Troy St & North Ave,2,0,0,8,0
15654,Spaulding Ave & Division St,0,1,1,1,0
15655,Albany Ave & Bloomingdale Ave,2,0,2,7,0
15664,Artesian Ave & Hubbard St,0,1,0,5,0
15666,California Ave & Lake St,1,0,0,2,0
15667,Western Ave & Monroe St,0,0,0,8,0
15668,Western Ave & Congress Pkwy,0,1,0,3,0
15682,Kedzie Ave & Roosevelt Rd,2,1,0,2,0
15685,Central Park Ave & Ogden Ave,2,0,2,1,0
15686,Kedzie Ave & 21st St,1,2,0,2,0
15687,Central Park Ave & 24th St,0,0,1,10,0
15689,California Ave & 23rd Pl,0,3,0,1,0
15691,Albany Ave & 26th St,0,1,4,5,0
15692,California Ave & 26th St,0,1,0,0,0
16010,Keystone Ave & Fullerton Ave,0,1,0,14,0
16806,Bosworth Ave & Howard St,0,0,0,20,0
16903,Cicero Ave & Lake St,0,0,0,0,0
